"id","name","meaning","length"
"889","foolish","어리석은","7"
"890","possible","가능한","8"
"891","enough","충분한, 충분히","6"
"892","wise","현명한","4"
"893","wide","넓은, 널리","4"
"894","successful","성공한","10"
"895","clear","맑은, 명백한","5"
"896","clean","깨끗한","5"
"897","deep","깊은, 깊게","4"
"898","own","자기 자신의, 소유하다","3"
"899","cheap","값싼","5"
"900","certain","확실한, 어떤","7"
"901","important","중요한","9"
"902","stormy","폭풍의","6"
"903","true","진실한","4"
"904","sad","슬픈","3"
"905","gay","명랑한, 화려한","3"
"906","merry","즐거운","5"
"907","colorful","다채로운, 화려한","8"
"908","wonderful","놀랄만한, 훌륭한","9"
"909","peaceful","평화로운","8"
"910","angry","성난","5"
"911","dry","마른","3"
"912","wrong","나쁜, 틀린","5"
"913","heavy","무거운","5"
"914","quiet","조용한","5"
"915","several","여럿의, 몇몇의","7"
"916","alone","홀로, 다만 ~ 뿐","5"
"917","crowded","붐비는, 혼잡한","7"
"918","excited","흥분한","7"
"919","alive","살아있는","5"
"920","brown","갈색의, 갈색","5"
"921","different","다른","9"
"922","difficult","어려운","9"
"923","interesting","재미있는","11"
"924","unlike","같지 않은","6"
"925","least","가장 적은, 최소한의","5"
"926","afraid","무서워하여","6"
"927","cool","서늘한, 냉정한","4"
"928","pretty","예쁜, 상당히","6"
"929","kind","친절한, 종류","4"
"930","sick","병든, 싫증난","4"
"931","useless","쓸모없는","7"
"932","busy","바쁜","4"
"933","early","일찍이","5"
"934","past","과거의, ~을 지나서","4"
"935","dark","어두운","4"
"936","cloudy","구름이 낀","6"
"937","short","짧은, 키가 작은","5"
"938","low","낮은, 낮게","3"
"939","sincerely","성실히","9"
"940","fortunately","운 좋게, 다행히","11"
"941","finally","최후로, 마침내","7"
"942","immediately","곧, 즉시","11"
"943","especially","특별히","10"
"944","else","그밖에","4"
"945","actually","실제로","8"
"946","hardly","거의 ~ 아니다","6"
"947","otherwise","다른 방법으로, 그렇지 않으면","9"
"948","tightly","단단히","7"
"949","recently","최근에","8"
"950","rapidly","빨리, 신속히","7"
"951","however","아무리 ~해도, 그러나","7"
"952","politely","공손히, 정중하게","8"
"953","rudely","무례하게","6"
"954","further","더욱이, 터먼","7"
"955","frankly","솔직히","7"
"956","properly","적당히, 올바르게","8"
"957","haste","급함, 신속, 서두르다","5"
"958","rather","오히려, 얼마간","6"
"959","together","함께","8"
"960","altogether","전혀, 대체로","10"
"961","suddenly","갑자기","8"
"962","mostly","대개는","6"
"963","correctly","정확히","9"
"964","ahead","앞으로, 앞에","5"
"965","instead","대신에","7"
"966","quite","아주, 매우","5"
"967","nearly","거의","6"
"968","badly","나쁘게, 몹시","5"
"969","almost","거의","6"
"970","exactly","정확히","7"
"971","apart","떨어져서, 따로","5"
"972","afterward","후에, 나중에","9"
"973","later","후에, 나중에","5"
"974","maybe","아마","5"
"975","perhaps","아마","7"
"976","probably","아마","8"
"977","either","~도 또한 ~ 하지 않다","6"
"978","neigher","~도 아니고 ~도 아니다","7"
"979","besides","게다가, 그밖에","7"
"980","anyway","어쨌든, 아무튼","6"
"981","sometime","언젠가","8"
"982","forward","앞쪽에, 앞으로","7"
"983","since","그 후, 그 이래","5"
"984","once","한번, 한때","4"
"985","twice","두 번","5"
"986","indeed","참으로","6"
"987","seldom","좀처럼 ~하지 않다","6"
"988","upsidedown","거꾸로","10"
"989","whether","~인지 어떤지","7"
"990","unless","~하지 않으면","6"
"991","though","비록 ~일지라도","6"
"992","while","~하는 동안","5"
"993","usually","보통, 대개","7"
"994","safely","안전하게","6"
"995","along","~을 따라서","5"
"996","without","~없이","7"
"997","behind","~의 뒤에","6"
"998","beyond","~의 저쪽에, ~이상으로","6"
"999","below","~의 아래에","5"
"1000","toward","~쪽으로","6"
